nimi_suomi,laji,laji_selite
Ingeborgintie,"1",Katu
Inkeroistentie,"1",Katu
Inkoonkatu,"1",Katu
Insinöörinkatu,"1",Katu
Intendentinkuja,"1",Katu
Intiankatu,"1",Katu
Iso Roobertinkatu,"1",Katu
Isokaari,"1",Katu
Ison-Antintie,"1",Katu
Isonkaivontie,"1",Katu
Isonkarhunkuja,"1",Katu
Isonmastonkuja,"1",Katu
Isonmastontie,"1",Katu
Isonnevantie,"1",Katu
Isonniitynkatu,"1",Katu
Isonniitynkuja,"1",Katu
Isonniitynpolku,"1",Katu
Isonniityntie,"1",Katu
Isonpellontie,"1",Katu
Isonpurjeentie,"1",Katu
Isonsarvastontie,"1",Katu
Isonvillasaarentie,"1",Katu
Isosaarenkuja,"1",Katu
Isosaarentie,"1",Katu
Itäinen Alppirinne,"1",Katu
Itäinen Brahenkatu,"1",Katu
Itäinen Papinkatu,"1",Katu
Itäinen Puistotie,"1",Katu
Itäinen Teatterikuja,"1",Katu
Itäkatu,"1",Katu
Itälahdenkatu,"1",Katu
Itämerenkatu,"1",Katu
Itäniitynpolku,"1",Katu
Itäniityntie,"1",Katu
Itäreimarinkuja,"1",Katu
Itäreimarintie,"1",Katu
Itätuulentie,"1",Katu
Ivan Falinin kuja,"1",Katu
Jaakonkatu,"1",Katu
Jaalantie,"1",Katu
Jaalaranta,"1",Katu
Jaanankuja,"1",Katu
Jaanantie,"1",Katu
Jaavankuja,"1",Katu
Jaavantie,"1",Katu
Jahtivoudintie,"1",Katu
Jakokunnantie,"1",Katu
Jakomäenkuja,"1",Katu
Jakomäentie,"1",Katu
Jakotie,"1",Katu
Jalaskuja,"1",Katu
Jalavatie,"1",Katu
Jalkamyllyntie,"1",Katu
Jalkaväenkuja,"1",Katu
Jallintie,"1",Katu
Jalopeurantie,"1",Katu
Japaninkatu,"1",Katu
Jarrutie,"1",Katu
Jatasalmentie,"1",Katu
Jauhokuja,"1",Katu
Johan Bockin kuja,"1",Katu
Johan Sederholmin tie,"1",Katu
Johanneksenkuja,"1",Katu
Johanneksenrinne,"1",Katu
Johanneksentie,"1",Katu
John Stenbergin ranta,"1",Katu
Johtokivenkuja,"1",Katu
Johtokiventie,"1",Katu
Jokikuja,"1",Katu
Jokiniementie,"1",Katu
Jokipellontie,"1",Katu
Jokipolku,"1",Katu
Jokisuunkuja,"1",Katu
Jokisuuntie,"1",Katu
Jokitie,"1",Katu
Jollaksentie,"1",Katu
Joonaksenkuja,"1",Katu
Joronpolku,"1",Katu
Josafatinkatu,"1",Katu
Joukolantie,"1",Katu
Joulutähdentie,"1",Katu
Jousimiehentie,"1",Katu
Joutsentie,"1",Katu
Juhana-herttuan tie,"1",Katu
Juhanhaka,"1",Katu
Juhani Ahon tie,"1",Katu
Juhannusruusunkuja,"1",Katu
Juhannustie,"1",Katu
Juhtakuja,"1",Katu
Juhtatie,"1",Katu
Jukolankuja,"1",Katu
Jukolantie,"1",Katu
Juoksuhaudantie,"1",Katu
Juorumäenkuja,"1",Katu
Jupiterintie,"1",Katu
Jussaarenkuja,"1",Katu
Juustenintie,"1",Katu
Juustilanpolku,"1",Katu
Jyrinäkuja,"1",Katu
Jyrkinkuja,"1",Katu
Jyrkännekuja,"1",Katu
Jyrängöntie,"1",Katu
Jyvätie,"1",Katu
Jägerhornintie,"1",Katu
Jäkäläpolku,"1",Katu
Jäkälätie,"1",Katu
Jäkärlänkuja,"1",Katu
Jäkärläntie,"1",Katu
Jälsitie,"1",Katu
Jämsänkatu,"1",Katu
Jännetie,"1",Katu
Järkälekuja,"1",Katu
Jäähdytintie,"1",Katu
Jääkärinkatu,"1",Katu
Jäämäentie,"1",Katu
K.H. Wiikin katu,"1",Katu
Kaadekuja,"1",Katu
Kaakkurikuja,"1",Katu
Kaanaankatu,"1",Katu
Kaarelan raitti,"1",Katu
Kaarelankuja,"1",Katu
Kaarelantie,"1",Katu
Kaarenjalka,"1",Katu
Kaarikuja,"1",Katu
Kaarlenkatu,"1",Katu
Kaarlenkuja,"1",Katu
Kaarnatie,"1",Katu
Kaartintorpantie,"1",Katu
Kaasutintie,"1",Katu
Kadetintie,"1",Katu
Kadettikouluntie,"1",Katu
Kahvikuja,"1",Katu
Kaikukatu,"1",Katu
Kaikukuja,"1",Katu
Kaironkatu,"1",Katu
Kaisaniemenkatu,"1",Katu
Kaisaniemenranta,"1",Katu
Kaitalahdenkuja,"1",Katu
Kaitalahdentie,"1",Katu
Kaivantokuja,"1",Katu
Kaivohaankuja,"1",Katu
Kaivokatu,"1",Katu
Kaivolahdenkatu,"1",Katu
Kaivolahdenkuja,"1",Katu
Kaivonkatsojantie,"1",Katu
Kaj Franckin katu,"1",Katu
Kajaaninkatu,"1",Katu
Kajaaninlinnantie,"1",Katu
Kajanuksenkatu,"1",Katu
Kajavarannantie,"1",Katu
Kajavatie,"1",Katu
Kakshuhdantie,"1",Katu
Kaksostentie,"1",Katu
Kalainkuja,"1",Katu
Kalaniemenkuja,"1",Katu
Kalannintie,"1",Katu
Kalastajatorpantie,"1",Katu
Kalervonkatu,"1",Katu
Kalevankatu,"1",Katu
Kaljaasitie,"1",Katu
Kalkkihiekankuja,"1",Katu
Kalkkihiekantie,"1",Katu
Kalkkipaadentie,"1",Katu
Kalkkivuorenkuja,"1",Katu
Kalkkivuorentie,"1",Katu
Kallenrinne,"1",Katu
Kallioharjuntie,"1",Katu
Kalliokaivonmäki,"1",Katu
Kalliokuja,"1",Katu
Kalliolanrinne,"1",Katu
Kalliolinnantie,"1",Katu
Kallioniementie,"1",Katu
Kallioportaankatu,"1",Katu
Kalliotie,"1",Katu
Kallvikintie,"1",Katu
Kalpakuja,"1",Katu
Kalteentie,"1",Katu
Kammantekijäntie,"1",Katu
Kamppiaistie,"1",Katu
Kanavakatu,"1",Katu
Kanavamäki,"1",Katu
Kanavaranta,"1",Katu
Kanavasillantie,"1",Katu
Kanervakuja,"1",Katu
Kanervarinne,"1",Katu
Kanervatie,"1",Katu
Kanervavinkkeli,"1",Katu
Kangasalantie,"1",Katu
Kangaspellontie,"1",Katu
Kangastie,"1",Katu
Kangasvuokontie,"1",Katu
Kankaretie,"1",Katu
Kankiraudantie,"1",Katu
Kankurinkatu,"1",Katu
Kanneltie,"1",Katu
Kannunvalajantie,"1",Katu
Kannus,"1",Katu
Kansakoulukatu,"1",Katu
Kansakoulukuja,"1",Katu
Kansankuja,"1",Katu
Kansantie,"1",Katu
Kanslerinkaari,"1",Katu
Kantakyläntie,"1",Katu
Kantarnäsintie,"1",Katu
Kantelettarenkuja,"1",Katu
Kantelettarentie,"1",Katu
Kanttorintie,"1",Katu
Kanuunatie,"1",Katu
Kaplaskuja,"1",Katu
Kappelintie,"1",Katu
Kapteeninkatu,"1",Katu
Karavaanikatu,"1",Katu
Karhukorvenkuja,"1",Katu
Karhulantie,"1",Katu
Karhunevanpolku,"1",Katu
Karhunevantie,"1",Katu
Karhunkaatajantie,"1",Katu
Karhunkämmen,"1",Katu
Karhurannankuja,"1",Katu
Karhurannantie,"1",Katu
Karhusaarentie,"1",Katu
Karhusuonkuja,"1",Katu
Karhusuontie,"1",Katu
Karhutie,"1",Katu
Karhutorpankuja,"1",Katu
Karhutorpanpolku,"1",Katu
Karhutorpantie,"1",Katu
Karistimentie,"1",Katu
Karjalankatu,"1",Katu
Karjatanhuanpolku,"1",Katu
Karjuniitynkuja,"1",Katu
Karpalokuja,"1",Katu
Karpalotie,"1",Katu
Karppitie,"1",Katu
Karrinkuja,"1",Katu
Karrintie,"1",Katu
Karstulantie,"1",Katu
Kartanomuseontie,"1",Katu
Kartanon puistotie,"1",Katu
Kartanonkaari,"1",Katu
Kartanonmetsäntie,"1",Katu
Kartanontie,"1",Katu
Kartanonvoudintie,"1",Katu
Karunantie,"1",Katu
Karvaamokuja,"1",Katu
Karviaismäki,"1",Katu
Krapukuja,"1",Katu
Krapupolku,"1",Katu
Kraputie,"1",Katu
Kravuntie,"1",Katu
Kreetantie,"1",Katu
Kreijarinkuja,"1",Katu
Kristianinkatu,"1",Katu
Krogiuksentie,"1",Katu
Kronqvistinkuja,"1",Katu
Kruununhaankatu,"1",Katu
Kruunuvuorenkatu,"1",Katu
Krämertintie,"1",Katu
Kuhankeittäjäntie,"1",Katu
Kuikkarinne,"1",Katu
Kuismakuja,"1",Katu
Kuismatie,"1",Katu
Kujanen,"1",Katu
Kukkaniityntie,"1",Katu
Kukkulatie,"1",Katu
Kullervonkatu,"1",Katu
Kulmakatu,"1",Katu
Kulmavuorenkatu,"1",Katu
Kulopolku,"1",Katu
Kulosaaren puistotie,"1",Katu
Kulosaarentie,"1",Katu
Kultakummuntie,"1",Katu
Kultakutrinkuja,"1",Katu
Kumianpää,"1",Katu
Kuminakuja,"1",Katu
Kummeltie,"1",Katu
Kumpulantie,"1",Katu
Kuninkaantammenkuja,"1",Katu
Kuninkaantammentie,"1",Katu
Kunnalliskodintie,"1",Katu
Kunnallisneuvoksenkuja,"1",Katu
Kunnallisneuvoksentie,"1",Katu
Kunnantie,"1",Katu
Kuntokalliontie,"1",Katu
Kuoppakuja,"1",Katu
Kuoppatie,"1",Katu
Kuopuksentie,"1",Katu
Kuortaneenkatu,"1",Katu
Kuparitie,"1",Katu
Kurkiaiskuja,"1",Katu
Kurkimoisio,"1",Katu
Kurkimoisionkuja,"1",Katu
Kurkimäentie,"1",Katu
Kurkisuontie,"1",Katu
Kurrakuja,"1",Katu
Kustaa Vaasan tie,"1",Katu
Kustaankatu,"1",Katu
Kutomokuja,"1",Katu
Kutomotie,"1",Katu
Kutteritie,"1",Katu
Kuukiventie,"1",Katu
Kuulijankuja,"1",Katu
Kuulijantie,"1",Katu
Kuuluttajankatu,"1",Katu
Kuunarikuja,"1",Katu
Kuunaritie,"1",Katu
Kuusamakuja,"1",Katu
Kuusikkotie,"1",Katu
Kuusilahdenkuja,"1",Katu
Kuusiniementie,"1",Katu
Kuusisaarenkuja,"1",Katu
Kuusisaarenpolku,"1",Katu
Kuusisaarentie,"1",Katu
Kuusistonlinnantie,"1",Katu
Kuusitie,"1",Katu
Kuusitorpantie,"1",Katu
Kuusmiehenkaari,"1",Katu
Kuusmiehenpolku,"1",Katu
Kuusmiehentie,"1",Katu
Kuutamotie,"1",Katu
Kuutie,"1",Katu
Kuutsalontie,"1",Katu
Kuvernöörintie,"1",Katu
Kuvuntie,"1",Katu
Kyllikinportti,"1",Katu
Kylväjäntie,"1",Katu
Kylvöpolku,"1",Katu
Kyläkirkontie,"1",Katu
Kyläkunnantie,"1",Katu
Kylänevankuja,"1",Katu
Kylänevantie,"1",Katu
Kylänpää,"1",Katu
Kylänraitti,"1",Katu
Kylänvanhimmankuja,"1",Katu
Kylänvanhimmantie,"1",Katu
Kylärinne,"1",Katu
Kyläsaarenkatu,"1",Katu
Kyläsaarenkuja,"1",Katu
Kyläsepänkuja,"1",Katu
Kyläsuutarinkuja,"1",Katu
Kylätie,"1",Katu
Kylävoudinkuja,"1",Katu
Kylävoudintie,"1",Katu
Kymintie,"1",Katu
Kyntelikuja,"1",Katu
Kyntäjäntie,"1",Katu
Kypäräpolku,"1",Katu
Kytkintie,"1",Katu
Kyttäläntie,"1",Katu
Kytökuja,"1",Katu
Kytöniityntie,"1",Katu
Kytöpolku,"1",Katu
Kytösuontie,"1",Katu
Kyyhkyskuja,"1",Katu
Kyyhkyspolku,"1",Katu
Kyyluodontie,"1",Katu
Kyynäräkuja,"1",Katu
Kyytimiehenkatu,"1",Katu
Kyytönkuja,"1",Katu
Kyösti Kallion tie,"1",Katu
Kyöstinkuja,"1",Katu
Käenkuja,"1",Katu
Kämnerinkuja,"1",Katu
Kämnerintie,"1",Katu
Käpylinnunkuja,"1",Katu
Käpylinnuntie,"1",Katu
Käpylänkuja,"1",Katu
Käpyläntie,"1",Katu
Lokkalantie,"1",Katu
Lokkikuja,"1",Katu
Lokkisaarentie,"1",Katu
Lontoonkatu,"1",Katu
Loosarintie,"1",Katu
Louhenkuja,"1",Katu
Louhentie,"1",Katu
Louhikkokuja,"1",Katu
Louhikkotie,"1",Katu
Lounaisväylä,"1",Katu
Loviisankatu,"1",Katu
Lucina Hagmanin kuja,"1",Katu
Ludviginkatu,"1",Katu
Luiskatie,"1",Katu
Luistarinkuja,"1",Katu
Lukijankuja,"1",Katu
Lukkarimäenkuja,"1",Katu
Lukkarimäentie,"1",Katu
Lukkarintie,"1",Katu
Lukupolku,"1",Katu
Lumikintie,"1",Katu
Luokomiehentie,"1",Katu
Luostonkuja,"1",Katu
Luoteisväylä,"1",Katu
Luotsikatu,"1",Katu
Luotsinkuja,"1",Katu
Lupajantie,"1",Katu
Lustokuja,"1",Katu
Lutherinkatu,"1",Katu
Luumukuja,"1",Katu
Luutnantintie,"1",Katu
Luuvakuja,"1",Katu
Luuvaniementie,"1",Katu
Lyhtykuja,"1",Katu
Lyhtytie,"1",Katu
Lyylinkuja,"1",Katu
Lähdeniityntie,"1",Katu
Lähdepolku,"1",Katu
Läkkisepänkuja,"1",Katu
Läkkisepäntie,"1",Katu
Läksyrinne,"1",Katu
Lämmittäjänkatu,"1",Katu
Lämmittäjänkuja,"1",Katu
Lämpökuja,"1",Katu
Länsilahdenkuja,"1",Katu
Länsipellontie,"1",Katu
Länsirinnetie,"1",Katu
Länsisatamankatu,"1",Katu
Läntinen Brahenkatu,"1",Katu
Läntinen Papinkatu,"1",Katu
Lääkärinkatu,"1",Katu
Långörintie,"1",Katu
Lönnrotinkatu,"1",Katu
Maaherrantie,"1",Katu
Maakaarenkuja,"1",Katu
Maakaari,"1",Katu
Maakuja,"1",Katu
Maamiehenkuja,"1",Katu
Maamiehentie,"1",Katu
Maamonlahdentie,"1",Katu
Maanmittarintie,"1",Katu
Maapadontie,"1",Katu
Käpytie,"1",Katu
Kärkikallionkuja,"1",Katu
Kärkitie,"1",Katu
Käräjäkirjurintie,"1",Katu
Käräjätuvantie,"1",Katu
Käsikiventie,"1",Katu
Käsityöläisentie,"1",Katu
Käskynhaltijantie,"1",Katu
Kääpäkuja,"1",Katu
Kääpätie,"1",Katu
Käärmeniementie,"1",Katu
Käärtipolku,"1",Katu
Käätypolku,"1",Katu
Kölikuja,"1",Katu
Kölitie,"1",Katu
Köydenpunojankatu,"1",Katu
Köyliönkuja,"1",Katu
Köysikuja,"1",Katu
Köökarinkuja,"1",Katu
Laajalahdentie,"1",Katu
Laajasalonkaari,"1",Katu
Laajasalontie,"1",Katu
Laajasuontie,"1",Katu
Laakavuorenkuja,"1",Katu
Laakavuorentie,"1",Katu
Laaksokuja,"1",Katu
Laaksotie,"1",Katu
Ladonlukonpolku,"1",Katu
Lahnalahdentie,"1",Katu
Lahnaruohontie,"1",Katu
Laidunkuja,"1",Katu
Lainkaarentie,"1",Katu
Lainlukijantie,"1",Katu
Laippakuja,"1",Katu
Laippatie,"1",Katu
Laitakuja,"1",Katu
Laitamyötäisentie,"1",Katu
Laitatie,"1",Katu
Laitatuulenkaari,"1",Katu
Laitilantie,"1",Katu
Laivakatu,"1",Katu
Laivalahden puistotie,"1",Katu
Laivalahdenkaari,"1",Katu
Laivalahdenkatu,"1",Katu
Laivalahdenportti,"1",Katu
Laivanvarustajankatu,"1",Katu
Laivapojankatu,"1",Katu
Laivasillankatu,"1",Katu
Laivastokatu,"1",Katu
Laivastokuja,"1",Katu
Laivuri Petterin katu,"1",Katu
Laivurinkatu,"1",Katu
Laivurinrinne,"1",Katu
Lallinkuja,"1",Katu
Lallintie,"1",Katu
Lallukantie,"1",Katu
Lampettikuja,"1",Katu
Lampputie,"1",Katu
Lampuotilantie,"1",Katu
Lanakuja,"1",Katu
Landbonkuja,"1",Katu
Landbonpolku,"1",Katu
Landbontie,"1",Katu
Langinkoskenkuja,"1",Katu
Lapikastie,"1",Katu
Lapinlahdenkatu,"1",Katu
Lapinlahdentie,"1",Katu
Lapinrinne,"1",Katu
Lappeentie,"1",Katu
Lapuankatu,"1",Katu
Larin Kyöstin tie,"1",Katu
Larin Parasken polku,"1",Katu
Lars Sonckin tie,"1",Katu
Lasinpuhaltajantie,"1",Katu
Lastatie,"1",Katu
Lastenkodin kuja,"1",Katu
Lastenkodinkatu,"1",Katu
Lastenlinnantie,"1",Katu
Latokartanonkaari,"1",Katu
Laukkipääntie,"1",Katu
Laukkukuja,"1",Katu
Laulukuja,"1",Katu
Laululinnuntie,"1",Katu
Laulurastaankuja,"1",Katu
Laulurastaantie,"1",Katu
Lauri Mikonpojan tie,"1",Katu
Laurinmäenkuja,"1",Katu
Laurinmäenpolku,"1",Katu
Laurinniitynkuja,"1",Katu
Laurinniitynrinne,"1",Katu
Laurinniityntie,"1",Katu
Laurinpojankuja,"1",Katu
Lauritsantie,"1",Katu
Lautamiehenpolku,"1",Katu
Lautamies Jopin katu,"1",Katu
Lautatarhankatu,"1",Katu
Lauttasaarenmäki,"1",Katu
Lauttasaarentie,"1",Katu
Lautturinkuja,"1",Katu
Lavettikuja,"1",Katu
Lavettitie,"1",Katu
Lehdesniityntie,"1",Katu
Lehmustie,"1",Katu
Lehtikuusentie,"1",Katu
Lehtisaarentie,"1",Katu
Lehtotie,"1",Katu
Lehtovuorenkatu,"1",Katu
Leikkikuja,"1",Katu
Leikosaarenkuja,"1",Katu
Leikosaarentie,"1",Katu
Leilikuja,"1",Katu
Leipurinniementie,"1",Katu
Leipurintie,"1",Katu
Leiviskätie,"1",Katu
Leivosenkuja,"1",Katu
Leivosentie,"1",Katu
Lemmikinkuja,"1",Katu
Lemunkuja,"1",Katu
Lemuntie,"1",Katu
Lentokapteenin kuja,"1",Katu
Lentokuja,"1",Katu
Lepolantie,"1",Katu
Leppisaarenkuja,"1",Katu
Leppisaarentie,"1",Katu
Leppälinnuntie,"1",Katu
Leppäniementie,"1",Katu
Leppäsuonkatu,"1",Katu
Leppätie,"1",Katu
Lestikuja,"1",Katu
Leveyspiiri,"1",Katu
Levytie,"1",Katu
Leväluhdantie,"1",Katu
Lielahdentie,"1",Katu
Liesipolku,"1",Katu
Liiketie,"1",Katu
Liikkalankuja,"1",Katu
Liikkalantie,"1",Katu
Liisankatu,"1",Katu
Liitokuja,"1",Katu
Liljasaarentie,"1",Katu
Lillinkuja,"1",Katu
Limingantie,"1",Katu
Linjakeppi,"1",Katu
Linkokuja,"1",Katu
Linnalahdenkuja,"1",Katu
Linnalahdentie,"1",Katu
Linnanherrankuja,"1",Katu
Linnanherrantie,"1",Katu
Linnankatu,"1",Katu
Linnankoskenkatu,"1",Katu
Linnankuja,"1",Katu
Linnanneidonkuja,"1",Katu
Linnanpajantie,"1",Katu
Linnanpellonkuja,"1",Katu
Linnanrakentajantie,"1",Katu
Linnanrouvanpolku,"1",Katu
Linnanväenkuja,"1",Katu
Linnanväenpolku,"1",Katu
Linnavuorentie,"1",Katu
Linnoittajantie,"1",Katu
Linnoituksentie,"1",Katu
Linnunlauluntie,"1",Katu
Linnunradankuja,"1",Katu
Linnunradantie,"1",Katu
Lintulahdenkatu,"1",Katu
Lintulahdenkuja,"1",Katu
Lirokuja,"1",Katu
Liukulaakerinkuja,"1",Katu
Liukumäentie,"1",Katu
Liuskekuja,"1",Katu
Liuskepolku,"1",Katu
Liusketie,"1",Katu
Lohenpyrstö,"1",Katu
Lohimiehenpolku,"1",Katu
Lohjantie,"1",Katu
Lohkarekuja,"1",Katu
Lohkopellontie,"1",Katu
Loisteputki,"1",Katu
Loistokuja,"1",Katu
Lokipolku,"1",Katu
Lokitie,"1",Katu
Kissankellontie,"1",Katu
Kisällintie,"1",Katu
Kitarakuja,"1",Katu
Kitusentie,"1",Katu
Kivalontie,"1",Katu
Kivalterintie,"1",Katu
Kivelänkatu,"1",Katu
Kivenhakkaajankatu,"1",Katu
Kivensilmänkuja,"1",Katu
Kiviahontie,"1",Katu
Kiviaidankatu,"1",Katu
Kivihaankuja,"1",Katu
Kivihaanpolku,"1",Katu
Kivihaantie,"1",Katu
Kivijatatie,"1",Katu
Kivikonkaari,"1",Katu
Kivikonkuja,"1",Katu
Kivikonlaita,"1",Katu
Kivikontie,"1",Katu
Kivimäentie,"1",Katu
Kivipadontie,"1",Katu
Kiviparintie,"1",Katu
Kiviportintie,"1",Katu
Kivipyykintie,"1",Katu
Kivisaarentie,"1",Katu
Kivitaskuntie,"1",Katu
Kiviteltankatu,"1",Katu
Kivitie,"1",Katu
Kivitorpantie,"1",Katu
Klaarantie,"1",Katu
Klaavuntie,"1",Katu
Klamintie,"1",Katu
Klaneettikuja,"1",Katu
Klaneettitie,"1",Katu
Klaukkalankuja,"1",Katu
Klaukkalantie,"1",Katu
Kluuvikatu,"1",Katu
Knutersintie,"1",Katu
Knuutintie,"1",Katu
Koetilantie,"1",Katu
Koillisväylä,"1",Katu
Kointähdenkuja,"1",Katu
Kointähdentie,"1",Katu
Koirasaarenrinne,"1",Katu
Koirasaarentie,"1",Katu
Koivikkotie,"1",Katu
Koivinkuja,"1",Katu
Koivumäentie,"1",Katu
Koivuniementie,"1",Katu
Koivusaarentie,"1",Katu
Kokkokalliontie,"1",Katu
Kokkosaarenkatu,"1",Katu
Kolkkapojantie,"1",Katu
Kolmas linja,"1",Katu
Kolsarinkuja,"1",Katu
Kolsarintie,"1",Katu
Kolsintie,"1",Katu
Komentosilta,"1",Katu
Konalankuja,"1",Katu
Konalantie,"1",Katu
Konemestarinkatu,"1",Katu
Kongontie,"1",Katu
Kontiaisenkuja,"1",Katu
Kontukuja,"1",Katu
Kontulankaari,"1",Katu
Kontulankuja,"1",Katu
Kontulantie,"1",Katu
Koreankatu,"1",Katu
Korentotie,"1",Katu
Korkeakoskenkuja,"1",Katu
Korkeanmäenkuja,"1",Katu
Korkeanmäentie,"1",Katu
Korkeavuorenkatu,"1",Katu
Kornetinkuja,"1",Katu
Kornetintie,"1",Katu
Koroistentie,"1",Katu
Korpitie,"1",Katu
Korppaanmäentie,"1",Katu
Korppaantie,"1",Katu
Korsholmantie,"1",Katu
Korsitie,"1",Katu
Korsnäsin Huvilakuja,"1",Katu
Korsnäsinkuja,"1",Katu
Korsnäsintie,"1",Katu
Korsutie,"1",Katu
Kortesuontie,"1",Katu
Korvasienentie,"1",Katu
Korvatunturintie,"1",Katu
Koskelantie,"1",Katu
Koskenhaankuja,"1",Katu
Koskenhaantie,"1",Katu
Koskustie,"1",Katu
Kotasuontie,"1",Katu
Kotikaivontie,"1",Katu
Kotikallio,"1",Katu
Kotikonnuntie,"1",Katu
Kotikuja,"1",Katu
Kotikumpu,"1",Katu
Kotinummentie,"1",Katu
Kotipellontie,"1",Katu
Kotipihlajankuja,"1",Katu
Kotipolku,"1",Katu
Kotisaarenkatu,"1",Katu
Kotitie,"1",Katu
Kotitorpantie,"1",Katu
Kotkankatu,"1",Katu
Kotoniitynkuja,"1",Katu
Kotoniityntie,"1",Katu
Kottaraistie,"1",Katu
Koudankuja,"1",Katu
Koudantie,"1",Katu
Koukkusaarentie,"1",Katu
Koulumestarintie,"1",Katu
Koulunjohtajantie,"1",Katu
Koulutanhua,"1",Katu
Koulutuvantie,"1",Katu
Kousakuja,"1",Katu
Kousatie,"1",Katu
Kovelikuja,"1",Katu
Kovelipolku,"1",Katu
Kraatarintie,"1",Katu
Krankantie,"1",Katu
Orioninkatu,"1",Katu
Orisaarentie,"1",Katu
Ormuskuja,"1",Katu
Ormusmäentie,"1",Katu
Ormuspellontie,"1",Katu
Ormusrinne,"1",Katu
Orvokkitie,"1",Katu
Oskarinkuja,"1",Katu
Oskarintie,"1",Katu
Oskelantie,"1",Katu
Osmonkuja,"1",Katu
Osmontie,"1",Katu
Ostoskuja,"1",Katu
Ostostie,"1",Katu
Osuuskuja,"1",Katu
Osuuskunnantie,"1",Katu
Otavantie,"1",Katu
Otermankuja,"1",Katu
Otermantie,"1",Katu
Otto Brandtin tie,"1",Katu
Oulunkyläntie,"1",Katu
Ouluntie,"1",Katu
Ounasvaarankuja,"1",Katu
Ounasvaarantie,"1",Katu
Paalukuja,"1",Katu
Paanutie,"1",Katu
Paasikivenkatu,"1",Katu
Paasitie,"1",Katu
Paasivaarankatu,"1",Katu
Paasivuorenkatu,"1",Katu
Paationkuja,"1",Katu
Paatsamatie,"1",Katu
Paavolantie,"1",Katu
Paciuksenkaari,"1",Katu
Paciuksenkatu,"1",Katu
Paciuksenkuja,"1",Katu
Paimenhuilunpolku,"1",Katu
Paimionkuja,"1",Katu
Pajalahdentie,"1",Katu
Pajamäentie,"1",Katu
Pajukontie,"1",Katu
Pajuniityntie,"1",Katu
Pajupillintie,"1",Katu
Pakarituvantie,"1",Katu
Pakilan rantatie,"1",Katu
Pakilantie,"1",Katu
Pakinkuja,"1",Katu
Pakkamestarinkatu,"1",Katu
Pakkastie,"1",Katu
Paljerinne,"1",Katu
Palkkatilankatu,"1",Katu
Pallaksentie,"1",Katu
Pallokuja,"1",Katu
Pallomäenkuja,"1",Katu
Pallomäentie,"1",Katu
Palmsenpolku,"1",Katu
Paloheinäntie,"1",Katu
Palokellonkuja,"1",Katu
Palokoukunkuja,"1",Katu
Palomäentie,"1",Katu
Palopirtintie,"1",Katu
Palosuontie,"1",Katu
Palotorninkuja,"1",Katu
Palovartijantie,"1",Katu
Palttinakuja,"1",Katu
Pamppulankuja,"1",Katu
Paneliantie,"1",Katu
Panimokatu,"1",Katu
Pannipolku,"1",Katu
Panuntie,"1",Katu
Paperitie,"1",Katu
Papinmäentie,"1",Katu
Papinpöydänkuja,"1",Katu
Papukuja,"1",Katu
Paraistentie,"1",Katu
Pariisinkatu,"1",Katu
Parikkalantie,"1",Katu
Parivaljakonkuja,"1",Katu
Parivaljakontie,"1",Katu
Parkkikuja,"1",Katu
Parkkitie,"1",Katu
Parmaajantie,"1",Katu
Parrukatu,"1",Katu
Parrukuja,"1",Katu
Parsakuja,"1",Katu
Partiotie,"1",Katu
Parvipolku,"1",Katu
Pasilankatu,"1",Katu
Pasilanraitio,"1",Katu
Pasteurinkatu,"1",Katu
Pastori Jussilaisen tie,"1",Katu
Pastorintie,"1",Katu
Pasuunakuja,"1",Katu
Pasuunatie,"1",Katu
Patakuja,"1",Katu
Patolantie,"1",Katu
Patomäentie,"1",Katu
Patterikuja,"1",Katu
Patteripolku,"1",Katu
Paturintie,"1",Katu
Paukkulantie,"1",Katu
Paukkupolku,"1",Katu
Pehtoorintie,"1",Katu
Peilitie,"1",Katu
Peiponkatu,"1",Katu
Pekankatu,"1",Katu
Pelikuja,"1",Katu
Pelimannintie,"1",Katu
Pellavakaskentie,"1",Katu
Pellavapellontie,"1",Katu
Pellervontie,"1",Katu
Pellonperäntie,"1",Katu
Peltohiirenkuja,"1",Katu
Peltojyränkuja,"1",Katu
Peltojyräntie,"1",Katu
Peltokyläntie,"1",Katu
Peltolantie,"1",Katu
Pengerkatu,"1",Katu
Pengerkuja,"1",Katu
Pennikuja,"1",Katu
Pensaskuja,"1",Katu
Maasälväntie,"1",Katu
Maavallintie,"1",Katu
Madetojankuja,"1",Katu
Maistraatinkatu,"1",Katu
Maistraatinportti,"1",Katu
Maitikkakuja,"1",Katu
Majakanvartijankatu,"1",Katu
Majakkakuja,"1",Katu
Majavatie,"1",Katu
Maljatie,"1",Katu
Malkapolku,"1",Katu
Mallaskatu,"1",Katu
Malmin asematie,"1",Katu
Malmin kauppatie,"1",Katu
Malmin raitti,"1",Katu
Malminkaari,"1",Katu
Malminkartanonkuja,"1",Katu
Malminkartanontie,"1",Katu
Malminkatu,"1",Katu
Malminrinne,"1",Katu
Maneesikatu,"1",Katu
Mannerheimintie,"1",Katu
Manttaalitie,"1",Katu
Maratontie,"1",Katu
Margareetankuja,"1",Katu
Maria Jotunin tie,"1",Katu
Mariankatu,"1",Katu
Marjalahdentie,"1",Katu
Marjaniemenranta,"1",Katu
Marjaniementie,"1",Katu
