nimi_suomi,laji,laji_selite
Atomitie,"1",Katu
Auertie,"1",Katu
Aukustinkuja,"1",Katu
Aulangontie,"1",Katu
Aurapolku,"1",Katu
Aurinkokuja,"1",Katu
Aurinkolahden puistotie,"1",Katu
Aurinkomäenkuja,"1",Katu
Aurinkomäentie,"1",Katu
Aurinkotuulenkatu,"1",Katu
Aurorankatu,"1",Katu
Auroranportti,"1",Katu
Autotallintie,"1",Katu
Beckerintie,"1",Katu
Bergantie,"1",Katu
Berliininkatu,"1",Katu
Bernhardinkatu,"1",Katu
Bertel Jungin tie,"1",Katu
Bertha Pauligin katu,"1",Katu
Betonitie,"1",Katu
Biologinkatu,"1",Katu
Birger Kaipiaisen katu,"1",Katu
Birger Kaipiaisen piha,"1",Katu
Bomansonintie,"1",Katu
Borgströminkuja,"1",Katu
Brahelinnantie,"1",Katu
Brysselinkatu,"1",Katu
Bulevardi,"1",Katu
Böstaksentie,"1",Katu
Caloniuksenkatu,"1",Katu
Castréninkatu,"1",Katu
Chydeniuksentie,"1",Katu
Cygnaeuksenkatu,"1",Katu
Dagmarinkatu,"1",Katu
Damaskuksentie,"1",Katu
Dosentintie,"1",Katu
Dunckerinkatu,"1",Katu
Döbelninkatu,"1",Katu
E.J. Nyströmin polku,"1",Katu
Edelfeltintie,"1",Katu
Eduskuntakatu,"1",Katu
Eerik Pyhän kuja,"1",Katu
Eerikinkatu,"1",Katu
Eeronpolku,"1",Katu
Ehrenströmintie,"1",Katu
Ehrensvärdintie,"1",Katu
Eino Leinon katu,"1",Katu
Eiranranta,"1",Katu
Eliel Saarisen tie,"1",Katu
Hiekkakiventie,"1",Katu
Hiekkalaiturintie,"1",Katu
Hiekkarannantie,"1",Katu
Hietakummuntie,"1",Katu
Hietalahdenkatu,"1",Katu
Hietalahdenranta,"1",Katu
Hietaniemenkatu,"1",Katu
Hietaniityntie,"1",Katu
Hietanummenkuja,"1",Katu
Hietapellontie,"1",Katu
Hiidenkiukaantie,"1",Katu
Hiidenkivenkuja,"1",Katu
Hiidenkiventie,"1",Katu
Hiidenmaankatu,"1",Katu
Hiidenportti,"1",Katu
Hiihtomäentie,"1",Katu
Hiihtäjäntie,"1",Katu
Hiilikatu,"1",Katu
Hiilloskuja,"1",Katu
Hiirakonkuja,"1",Katu
Hiisikuja,"1",Katu
Hiittistenkuja,"1",Katu
Hilapellontie,"1",Katu
Hilatie,"1",Katu
Hilda Flodinin aukio,"1",Katu
Hilda Flodinin kuja,"1",Katu
Hillerikuja,"1",Katu
Hilparipolku,"1",Katu
Himmelitie,"1",Katu
Hinnerjoenkuja,"1",Katu
Hiomokuja,"1",Katu
Hiomotie,"1",Katu
Hippiäistie,"1",Katu
